algorithm,dataset,avg_dist,avg_exec_time,avg_algo_time,elapsed,avg_max_rss
2_Approximation_Algorithm,a100.tsp,1538.8278355184611,0.0,0.0,,
2_Approximation_Algorithm,a25.tsp,443.55501047059414,0.0,0.0,,
2_Approximation_Algorithm,a280.tsp,3500.556807189502,0.3333333333333333,0.0,,
2_Approximation_Algorithm,a5.tsp,103.54844941612414,0.3333333333333333,0.0,,
2_Approximation_Algorithm,kz9976.tsp,1472418.2331467466,568.0,563.6666666666666,,
2_Approximation_Algorithm,mona-lisa100K.tsp,8335666.218426102,81425.66666666667,81383.33333333333,,
2_Approximation_Algorithm,xql662.tsp,3850.2015409449737,3.0,2.6666666666666665,,
Held-Karp_algorithm,a100.tsp,,,,,
Held-Karp_algorithm,a25.tsp,358.76500000000004,46074.666666666664,46072.666666666664,,
Held-Karp_algorithm,a280.tsp,,,,,
Held-Karp_algorithm,a5.tsp,103.548,0.3333333333333333,0.0,,
Held-Karp_algorithm,kz9976.tsp,,,,,
Held-Karp_algorithm,mona-lisa100K.tsp,,,,,
Held-Karp_algorithm,xql662.tsp,,,,,
brute_force,a25.tsp,,,,,
brute_force,a5.tsp,103.5484,,0.0,,
k-means,a100.tsp,1077.8146127664293,0.3333333333333333,0.0,,
k-means,a25.tsp,297.99828586231104,0.0,0.0,,
k-means,a280.tsp,3616.7943795436327,1.6666666666666667,1.0,,
k-means,a5.tsp,0.0,0.6666666666666666,0.0,,
k-means,kz9976.tsp,12905708.370959451,133.33333333333334,129.33333333333334,,
k-means,mona-lisa100K.tsp,306493378.69268006,13471.333333333334,13434.0,,
k-means,xql662.tsp,6647.200504014833,2.3333333333333335,2.3333333333333335,,
k-means_mod,a100.tsp,1137.9203810093827,0.0,0.0,,
k-means_mod,a25.tsp,304.10974204231275,0.0,0.0,,
k-means_mod,a280.tsp,3651.911417751758,2.0,2.0,,
k-means_mod,a5.tsp,70.56360441118288,0.0,0.0,,
k-means_mod,kz9976.tsp,2051505.6596304749,2567.0,2562.3333333333335,,
k-means_mod,mona-lisa100K.tsp,11646387.276047153,220105.0,220069.0,,
k-means_mod,xql662.tsp,4522.403424457265,16.333333333333332,15.666666666666666,,
min_weight_loop_w_insertion,a100.tsp,1617.8020840944935,0.0,0.0,,
min_weight_loop_w_insertion,a25.tsp,452.99532883609504,0.0,0.0,,
min_weight_loop_w_insertion,a280.tsp,4938.052768980644,0.0,0.0,,
min_weight_loop_w_insertion,a5.tsp,54.56360441118287,0.0,0.0,,
min_weight_loop_w_insertion,kz9976.tsp,2851801.394375201,275.0,268.3333333333333,,
min_weight_loop_w_insertion,mona-lisa100K.tsp,11090637.545229118,56719.666666666664,56674.666666666664,,
min_weight_loop_w_insertion,xql662.tsp,5891.694335336008,1.3333333333333333,1.0,,
tsp,paths,,,,,
